temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,ingested_at
2.0,-0.9,81.0,0.0,0.0,226.0,22.2,40.8,1018.9,0.0,4.0,2025-12-13 09:38:49.740769+00:00
2.3,-1.0,79.0,0.0,0.0,222.0,22.2,40.8,1018.3,0.0,4.0,2025-12-13 09:38:49.740769+00:00
2.7,-0.7,78.0,0.0,0.0,219.0,22.2,42.6,1017.7,0.0,4.0,2025-12-13 09:38:49.740769+00:00
3.2,-0.4,77.0,0.0,0.0,219.0,24.1,44.5,1017.0,0.0,4.0,2025-12-13 09:38:49.740769+00:00
3.5,-0.3,76.0,0.0,0.0,221.0,24.1,44.5,1016.3,0.0,4.0,2025-12-13 09:38:49.740769+00:00
3.8,-0.2,75.0,0.0,0.0,219.0,24.1,44.5,1015.5,0.0,4.0,2025-12-13 09:38:49.740769+00:00
4.0,-0.0,75.0,0.0,0.0,220.0,24.1,46.3,1014.7,0.0,4.0,2025-12-13 09:38:49.740769+00:00
4.3,0.1,74.0,0.0,0.0,224.0,25.9,46.3,1014.2,0.0,4.0,2025-12-13 09:38:49.740769+00:00
4.6,0.6,75.0,0.0,0.0,224.0,25.9,48.2,1013.7,0.0,4.0,2025-12-13 09:38:49.740769+00:00
5.1,0.7,73.0,0.0,0.0,224.0,27.8,50.0,1013.2,0.0,4.0,2025-12-13 09:38:49.740769+00:00
5.5,0.9,72.0,0.0,0.0,225.0,27.8,51.8,1012.4,2.0,4.0,2025-12-13 09:38:49.740769+00:00
6.0,0.7,69.0,0.0,0.0,227.0,27.8,51.8,1011.6,3.0,4.0,2025-12-13 09:38:49.740769+00:00
6.7,0.8,66.0,0.0,0.0,227.0,29.6,55.5,1010.7,4.0,4.0,2025-12-13 09:38:49.740769+00:00
6.8,0.7,65.0,0.0,0.0,228.0,27.8,53.7,1009.5,6.0,4.0,2025-12-13 09:38:49.740769+00:00
6.8,0.5,64.0,0.0,0.0,228.0,27.8,53.7,1008.4,5.0,4.0,2025-12-13 09:38:49.740769+00:00
6.7,0.6,65.0,0.0,0.0,228.0,27.8,53.7,1007.4,2.0,4.0,2025-12-13 09:38:49.740769+00:00
7.1,0.3,62.0,0.0,0.0,224.0,29.6,55.5,1007.1,0.0,4.0,2025-12-13 09:38:49.740769+00:00
7.1,0.3,62.0,0.0,0.0,228.0,29.6,55.5,1006.4,0.0,4.0,2025-12-13 09:38:49.740769+00:00
7.0,0.2,62.0,0.0,0.0,228.0,29.6,55.5,1005.6,0.0,4.0,2025-12-13 09:38:49.740769+00:00
6.8,0.3,63.0,0.0,0.0,229.0,29.6,57.4,1005.1,0.0,4.0,2025-12-13 09:38:49.740769+00:00
6.8,0.0,62.0,0.0,0.0,228.0,29.6,57.4,1004.6,0.0,7.0,2025-12-13 09:38:49.740769+00:00
6.9,0.3,63.0,0.0,0.0,230.0,29.6,57.4,1004.3,0.0,7.0,2025-12-13 09:38:49.740769+00:00
7.2,0.2,61.0,0.0,0.0,231.0,27.8,61.1,1003.8,0.0,7.0,2025-12-13 09:38:49.740769+00:00
7.0,0.7,64.0,0.0,0.0,234.0,27.8,59.3,1003.4,0.0,7.0,2025-12-13 09:38:49.740769+00:00
6.9,1.0,66.0,0.0,0.0,238.0,27.8,57.4,1003.4,0.0,7.0,2025-12-13 09:38:49.740769+00:00
6.6,1.7,71.0,0.0,0.0,242.0,25.9,53.7,1003.2,0.0,7.0,2025-12-13 09:38:49.740769+00:00
6.4,2.1,74.0,0.1,0.0,247.0,25.9,51.8,1003.4,0.0,7.0,2025-12-13 09:38:49.740769+00:00
6.1,2.4,77.0,0.6,0.0,253.0,24.1,50.0,1003.5,0.0,7.0,2025-12-13 09:38:49.740769+00:00
